root,indicative_present_2p_s,indicative_present_1p_s,indicative_present_1p_p,indicative_present_3p_s,indicative_present_3p_p,indicative_preterite_2p_s,indicative_preterite_1p_s,indicative_preterite_1p_p,indicative_preterite_3p_s,indicative_preterite_3p_p,indicative_imperfect_2p_s,indicative_imperfect_1p_s,indicative_imperfect_1p_p,indicative_imperfect_3p_s,indicative_imperfect_3p_p,indicative_conditional_2p_s,indicative_conditional_1p_s,indicative_conditional_1p_p,indicative_conditional_3p_s,indicative_conditional_3p_p,indicative_future_2p_s,indicative_future_1p_s,indicative_future_1p_p,indicative_future_3p_s,indicative_future_3p_p,perfect_present_2p_s,perfect_present_1p_s,perfect_present_1p_p,perfect_present_3p_s,perfect_present_3p_p,perfect_past_2p_s,perfect_past_1p_s,perfect_past_1p_p,perfect_past_3p_s,perfect_past_3p_p
conocer,conoces,conoco,conocemos,conoce,conocen,conociste,conocí,conocimos,conoció,conocieron,conocías,conocía,conocíamos,conocía,conocían,conocerías,conocería,conoceríamos,conocería,conocerían,conocerás,conoceré,conoceremos,conocerá,conocerán,has conocido,he conocido,hemos conocido,ha conocido,han conocido,habías conocido,había conocido,habíamos conocido,había conocido,habían conocido
encontrar,encuentras,encuentro,encontramos,encuentra,encuentran,encontraste,encontré,encontramos,encontró,encontraron,encontrabas,encontraba,encontrábamos,encontraba,encontraban,encontrarías,encontraría,encontraríamos,encontraría,encontrarían,encontrarás,encontraré,encontraremos,encontrará,encontrarán,has encontrado,he encontrado,hemos encontrado,ha encontrado,han encontrado,habías encontrado,había encontrado,habíamos encontrado,había encontrado,habían encontrado
divertir,divertes,diverto,divertimos,diverte,diverten,divertiste,divertí,divertimos,divertió,divertieron,divertías,divertía,divertíamos,divertía,divertían,divertirías,divertiría,divertiríamos,divertiría,divertirían,divertirás,divertiré,divertiremos,divertirá,divertirán,has divertido,he divertido,hemos divertido,ha divertido,han divertido,habías divertido,había divertido,habíamos divertido,había divertido,habían divertido
deber,debes,debo,debemos,debe,deben,debiste,debí,debimos,debió,debieron,debías,debía,debíamos,debía,debían,deberías,debería,deberíamos,debería,deberían,deberás,deberé,deberemos,deberá,deberán,has debido,he debido,hemos debido,ha debido,han debido,habías debido,había debido,habíamos debido,había debido,habían debido
encantar,encantas,encanto,encantamos,encanta,encantan,encantaste,encanté,encantamos,encantó,encantaron,encantabas,encantaba,encantábamos,encantaba,encantaban,encantarías,encantaría,encantaríamos,encantaría,encantarían,encantarás,encantaré,encantaremos,encantará,encantarán,has encantado,he encantado,hemos encantado,ha encantado,han encantado,habías encantado,había encantado,habíamos encantado,había encantado,habían encantado
discutir,discutes,discuto,discutimos,discute,discuten,discutiste,discutí,discutimos,discutió,discutieron,discutías,discutía,discutíamos,discutía,discutían,discutirías,discutiría,discutiríamos,discutiría,discutirían,discutirás,discutiré,discutiremos,discutirá,discutirán,has discutido,he discutido,hemos discutido,ha discutido,han discutido,habías discutido,había discutido,habíamos discutido,había discutido,habían discutido
elegir,eleges,elego,elegimos,elege,elegen,elegiste,elegí,elegimos,elegió,elegieron,elegías,elegía,elegíamos,elegía,elegían,elegirías,elegiría,elegiríamos,elegiría,elegirían,elegirás,elegiré,elegiremos,elegirá,elegirán,has elegido,he elegido,hemos elegido,ha elegido,han elegido,habías elegido,había elegido,habíamos elegido,había elegido,habían elegido
nacer,naces,naco,nacemos,nace,nacen,naciste,nací,nacimos,nació,nacieron,nacías,nacía,nacíamos,nacía,nacían,nacerías,nacería,naceríamos,nacería,nacerían,nacerás,naceré,naceremos,nacerá,nacerán,has nacido,he nacido,hemos nacido,ha nacido,han nacido,habías nacido,había nacido,habíamos nacido,había nacido,habían nacido
mandar,mandas,mando,mandamos,manda,mandan,mandaste,mandé,mandamos,mandó,mandaron,mandabas,mandaba,mandábamos,mandaba,mandaban,mandarías,mandaría,mandaríamos,mandaría,mandarían,mandarás,mandaré,mandaremos,mandará,mandarán,has mandado,he mandado,hemos mandado,ha mandado,han mandado,habías mandado,había mandado,habíamos mandado,había mandado,habían mandado
escribir,escribes,escribo,escribimos,escribe,escriben,escribiste,escribí,escribimos,escribió,escribieron,escribías,escribía,escribíamos,escribía,escribían,escribirías,escribiría,escribiríamos,escribiría,escribirían,escribirás,escribiré,escribiremos,escribirá,escribirán,has escrito,he escrito,hemos escrito,ha escrito,han escrito,habías escrito,había escrito,habíamos escrito,había escrito,habían escrito
